label,name
mn0000734199,Edgard Varèse
mn0000936425,Todd Rundgren
mn0000582313,The Zombies
mn0000325459,R.E.M.
mn0000131627,Creedence Clearwater Revival
mn0000009680,Charles Mingus
mn0000255377,Pepper Adams
mn0000542549,Gerry Mulligan
mn0000227776,Lee Konitz
mn0000166505,Feist
mn0000784811,Joanna Newsom
mn0000574035,St. Vincent
mn0000895136,Pixies
mn0000357406,Nirvana
mn0000752314,Pavement
mn0000647796,Camper Van Beethoven
mn0002188470,Gordan Nikolic
mn0000001589,György Kurtág
mn0001551285,Witold Lutosławski
mn0000076881,Jimmy Reed
mn0000511041,Aterciopelados
mn0000488378,Os Mutantes
mn0000131650,Talking Heads
mn0000639397,Caetano Veloso
mn0000191699,Gal Costa
mn0000176298,Dom Um Romão
mn0001067429,Mayuto Correa
mn0001413399,Jadir de Castro
mn0000353700,Rubens Bassini
mn0000609992,Airto Moreira
mn0000859830,Thiago de Mello
mn0000482715,Orestes Vilató
mn0000577627,The Who
mn0000569402,The Teardrop Explodes
mn0000896216,Band of Horses
mn0002482004,Gauntlet Hair
mn0000674887,Daryl Hall & John Oates
mn0000219483,Dinosaur Jr.
mn0000527267,Built to Spill
mn0000987491,Gram Parsons
mn0000924232,Sun Ra
mn0000836312,Junior Murvin
mn0000821571,Smokey Robinson
mn0000218885,Horace Andy
mn0000144458,Curtis Mayfield
mn0000091650,Black Flag
mn0000269172,Lester Flatt
mn0000081083,Bill Monroe
mn0000041874,The Beach Boys
mn0000586694,Suede
mn0000899530,The Smiths
mn0000465944,Rev. C.L. Franklin
mn0000135943,The Dixie Hummingbirds
mn0000814657,Mahalia Jackson
mn0000759031,Aztec Camera
mn0000607967,Astor Piazzolla
mn0000005882,T. Rex
mn0000037658,Steve Reich
mn0000840000,Vangelis
mn0000849672,Philip Glass
mn0000002411,Tangerine Dream
mn0000833782,Liquid Liquid
mn0000956353,Daniel Wang
mn0000193231,Gang of Four
mn0000139566,Curtis Fuller
mn0000792096,Frank Rosolino
mn0000352164,Kai Winding
mn0000611102,Albert Collins
mn0000825208,Lightnin' Hopkins
mn0000898331,Mississippi Fred McDowell
mn0000176936,Elmore James
mn0000815039,John Lee Hooker
mn0000129547,"Clarence ""Gatemouth"" Brown"
mn0000143044,Frankie Lee Sims
mn0000988471,Enya
mn0000227697,Robbie Williams
mn0000272563,S Club 7
mn0000404434,The Moody Blues
mn0000747445,Patti Smith
mn0000251078,Julius Hemphill
mn0000800100,Eric Dolphy
mn0000175553,John Coltrane
mn0000614339,Albert Ayler
mn0000600734,The Art Ensemble of Chicago
mn0000360956,Jimmy Giuffre
mn0000503279,Archie Shepp
mn0000080970,Ike Turner
mn0000242966,Lennie Tristano
mn0000484396,Ornette Coleman
mn0000796166,Don Cherry
mn0001622854,Whisky Priests
mn0000626989,Brother
mn0000489876,The Pogues
mn0000315403,Venom
mn0000501407,Motörhead
mn0000367459,Naked Raygun
mn0000604075,Agent Orange
mn0000288841,Robert Hood
mn0000793821,Frankie Knuckles
mn0000205313,Derrick May
mn0000574654,Dave Angel
mn0000184031,Underground Resistance
mn0000055304,The Flamingos
mn0000893719,The Penguins
mn0000627026,Amy Winehouse
mn0000768609,Antonin Dvorák
mn0000085806,Billy Thorpe
mn0000203008,Rush
mn0000831381,Robin Trower
mn0000218777,John Bonham
mn0000044764,Blondie
mn0000509223,Mudhoney
mn0000835749,Scott Asheton
mn0000420539,The Residents
mn0000926091,Einstürzende Neubauten
mn0000200679,Twista
mn0000163662,E.S.G.
mn0000385766,Rachelle Ferrell
mn0000800212,Foxy Brown
mn0000081316,Bone Thugs-N-Harmony
mn0000278439,Lil' Kim
mn0000027116,The 2 Live Crew
mn0000025335,Trina
mn0000420381,OutKast
mn0000502371,Missy Elliott
mn0000075295,Ken Boothe
mn0000082013,The Impressions
mn0000121459,Cornell Campbell
mn0000178889,Alton Ellis
mn0000118544,The Drifters
mn0000238115,Sam Cooke
mn0000307305,Roland Alphonso
mn0000003595,Andrew Lloyd Webber
mn0000694967,Phil Spector
mn0000103748,Irving Berlin
mn0000197918,George Gershwin
mn0000239859,Leonard Bernstein
mn0000286561,Robert Earl Keen
mn0000484145,The Partridge Family
mn0000478603,The Monkees
mn0000692251,The Youngbloods
mn0000052900,The Lovin' Spoonful
mn0000059293,The Mamas & the Papas
mn0000028772,The 5th Dimension
mn0000753963,The Association
mn0000043714,Bee Gees
mn0000562663,Harpers Bizarre
mn0000137401,The Cyrkle
mn0000325401,Petula Clark
mn0000135032,The Beau Brummels
mn0000784760,The Cowsills
mn0000943827,Cake
mn0000139089,Barenaked Ladies
mn0000243008,Weezer
mn0000103324,Kreator
mn0000151787,Bathory
mn0000022124,Slayer
mn0000446509,Metallica
mn0000062823,Bad Religion
mn0000584952,Momus
mn0000058549,Elvis Costello
mn0000396153,Ran Blake
mn0000545726,Guided by Voices
mn0000570825,The Modern Lovers
mn0000748070,Ammoncontact
mn0000802928,Freestyle Fellowship
mn0000382565,Mastodon
mn0000175379,Unearth
mn0000159655,Shadows Fall
mn0000771792,Killswitch Engage
mn0000673638,Henry Threadgill
mn0000596922,Yusef Lateef
mn0000160198,Gene Ammons
mn0000509696,Muhal Richard Abrams
mn0000864257,Rahsaan Roland Kirk
mn0000039656,Sonny Rollins
mn0000503913,Mountain
mn0000572579,Anita Baker
mn0000021334,Stephanie Mills
mn0000884962,Regina Belle
mn0000829869,Lois
mn0000774660,Kristin Hersh
mn0000026520,Stereolab
mn0000290040,Roy Hamilton
mn0000082584,Billy Eckstine
mn0000107227,Kruder & Dorfmeister
mn0000751019,The Animals
